seiza x0 y0 z0 ly0 x1 y1 z1 ly1
end_header
And 0.87327 0.4862 -0.03196 2.07 0.84581 0.51297 -0.14657 3.27
And 0.84581 0.51297 -0.14657 3.27 0.77556 0.58242 -0.24352 2.07
And 0.63386 0.6734 -0.38047 2.1 0.77556 0.58242 -0.24352 2.07
And 0.77556 0.58242 -0.24352 2.07 0.75875 0.62251 -0.19182 3.86
And 0.75875 0.62251 -0.19182 3.86 0.73607 0.6571 -0.16255 4.53
Ant -0.78722 -0.51605 -0.33759 4.28 -0.69959 -0.58624 -0.40851 5.23
Aps -0.1413 -0.98177 0.12708 3.83 -0.071 -0.98128 0.17901 3.86
Aps -0.071 -0.98128 0.17901 3.86 -0.07118 -0.97635 0.2041 4.23
Aql 0.47918 0.11161 0.8706 3.71 0.45921 0.15415 0.87486 0.76
Aql 0.45921 0.15415 0.87486 0.76 0.43956 0.18418 0.87913 2.72
Aql 0.45921 0.15415 0.87486 0.76 0.36392 0.05434 0.92985 3.36
Aql 0.36392 0.05434 0.92985 3.36 0.47122 0.01756 0.88185 3.87
Aql 0.54204 -0.01433 0.84024 3.24 0.47122 0.01756 0.88185 3.87
Aql 0.36392 0.05434 0.92985 3.36 0.27335 0.23962 0.9316 2.99
Aql 0.27335 0.23962 0.9316 2.99 0.24839 0.25998 0.93313 4.02
Aql 0.36392 0.05434 0.92985 3.36 0.28403 -0.0851 0.95504 3.43
Aqr 0.79371 -0.09708 0.60051 2.9 0.87836 -0.00558 0.47799 2.95
Aqr 0.87836 -0.00558 0.47799 2.95 0.90907 -0.02421 0.41595 3.86
Aqr 0.90907 -0.02421 0.41595 3.86 0.92192 -0.00035 0.3874 3.65
Aqr 0.92192 -0.00035 0.3874 3.65 0.93257 -0.00204 0.361 4.04
Aqr 0.93257 -0.00204 0.361 4.04 0.94873 -0.1319 0.28728 3.73
Aqr 0.94873 -0.1319 0.28728 3.73 0.96922 -0.15794 0.18889 4.24
Aqr 0.96922 -0.15794 0.18889 4.24 0.92687 -0.34366 0.15107 3.96
Aqr 0.87836 -0.00558 0.47799 2.95 0.89209 -0.13542 0.4311 4.17
Aqr 0.89209 -0.13542 0.4311 4.17 0.85408 -0.23971 0.46163 4.29
Aqr 0.89209 -0.13542 0.4311 4.17 0.90894 -0.18528 0.3735 4.82
Aqr 0.90894 -0.18528 0.3735 4.82 0.92649 -0.23501 0.29394 4.05
Aqr 0.92649 -0.23501 0.29394 4.05 0.92328 -0.27262 0.27064 3.27
Aqr 0.92328 -0.27262 0.27064 3.27 0.90991 -0.36117 0.20404 3.68
Aqr 0.65893 -0.16497 0.7339 3.78 0.79371 -0.09708 0.60051 2.9
Ara 0.01857 -0.76706 0.6413 3.65 -0.07897 -0.76465 0.63959 2.84
Ara -0.07897 -0.76465 0.63959 2.84 -0.14801 -0.82894 0.5394 3.12
Ara -0.14801 -0.82894 0.5394 3.12 -0.15514 -0.85753 0.49047 3.77
Ara -0.15514 -0.85753 0.49047 3.77 -0.06158 -0.87192 0.48575 3.6
Ara -0.06158 -0.87192 0.48575 3.6 -0.08329 -0.8327 0.54742 3.31
Ara -0.08329 -0.8327 0.54742 3.31 -0.08536 -0.82442 0.55951 2.84
Ara -0.08536 -0.82442 0.55951 2.84 0.01857 -0.76706 0.6413 3.65
Ari 0.65544 0.45805 -0.6005 3.61 0.77969 0.39816 -0.48328 2.01
Ari 0.77969 0.39816 -0.48328 2.01 0.82025 0.35525 -0.44832 2.64
Ari 0.82025 0.35525 -0.44832 2.64 0.83039 0.33042 -0.44865 3.88
Aur 0.00098 0.60478 -0.79639 2.65 0.00146 0.70646 -0.70775 1.9
Aur 0.00146 0.70646 -0.70775 1.9 0.13051 0.71933 -0.6823 0.08
Aur 0.13051 0.71933 -0.6823 0.08 0.18723 0.65706 -0.73022 3.69
Aur 0.18723 0.65706 -0.73022 3.69 0.22725 0.54707 -0.80565 2.69
Aur 0.12866 0.47882 -0.86843 1.65 0.22725 0.54707 -0.80565 2.69
Aur 0.12866 0.47882 -0.86843 1.65 0.00098 0.60478 -0.79639 2.65
Boo -0.74102 0.23732 0.62815 3.78 -0.78373 0.32866 0.52701 -0.05
Boo -0.78373 0.32866 0.52701 -0.05 -0.66948 0.45515 0.58706 2.35
Boo -0.66948 0.45515 0.58706 2.35 -0.54961 0.54925 0.62949 3.46
Boo -0.54961 0.54925 0.62949 3.46 -0.53397 0.648 0.54312 3.49
Boo -0.53397 0.648 0.54312 3.49 -0.61817 0.61989 0.48332 3.04
Boo -0.61817 0.61989 0.48332 3.04 -0.68026 0.5056 0.53068 3.57
Boo -0.68026 0.5056 0.53068 3.57 -0.78373 0.32866 0.52701 -0.05
Boo -0.78373 0.32866 0.52701 -0.05 -0.83253 0.31563 0.45526 2.68
Boo -0.83253 0.31563 0.45526 2.68 -0.85451 0.27225 0.44237 4.05
Cae 0.26844 -0.70653 -0.65479 5.07 0.253 -0.66735 -0.70044 4.44
Cae 0.253 -0.66735 -0.70044 4.44 0.2659 -0.60383 -0.75145 5.04
Cam 0.30655 0.86551 -0.39614 4.21 0.23083 0.89158 -0.38962 4.95
Cam 0.23083 0.89158 -0.38962 4.95 0.11389 0.91597 -0.38476 4.26
Cam 0.30655 0.86551 -0.39614 4.21 0.17156 0.9474 -0.27021 4.59
Cam 0.17156 0.9474 -0.27021 4.59 0.11389 0.91597 -0.38476 4.26
Cam 0.17156 0.9474 -0.27021 4.59 0.03039 0.98239 -0.18436 5.08
Cap 0.55308 -0.2172 0.80433 3.58 0.55809 -0.25513 0.7896 3.05
Cap 0.55809 -0.25513 0.7896 3.05 0.69266 -0.29625 0.65762 4.08
Cap 0.69266 -0.29625 0.65762 4.08 0.73921 -0.2896 0.60803 4.28
Cap 0.73921 -0.2896 0.60803 4.28 0.78498 -0.28672 0.54919 3.69
Cap 0.78498 -0.28672 0.54919 3.69 0.80347 -0.27776 0.52659 2.85
Cap 0.73921 -0.2896 0.60803 4.28 0.72517 -0.38125 0.57339 3.77
Cap 0.72517 -0.38125 0.57339 3.77 0.69266 -0.29625 0.65762 4.08
Cap 0.55809 -0.25513 0.7896 3.05 0.5995 -0.42689 0.67704 4.13
Cap 0.69266 -0.29625 0.65762 4.08 0.6076 -0.45273 0.65259 4.12
Car -0.25882 -0.93799 -0.23059 1.67 -0.30535 -0.93991 -0.15268 3.29
Car -0.30535 -0.93991 -0.15268 3.29 -0.40798 -0.90179 -0.14255 2.74
Car -0.40798 -0.90179 -0.14255 2.74 -0.46431 -0.87092 -0.16092 4.58
Car -0.46431 -0.87092 -0.16092 4.58 -0.50249 -0.85694 -0.11464 3.93
Car -0.50249 -0.85694 -0.11464 3.93 -0.4956 -0.85584 -0.14799 3.78
Car -0.4956 -0.85584 -0.14799 3.78 -0.47757 -0.85481 -0.20301 3.81
Car -0.47757 -0.85481 -0.20301 3.81 -0.43216 -0.87741 -0.20825 3.39
Car -0.43216 -0.87741 -0.20825 3.39 -0.38718 -0.85963 -0.33335 2.21
Car -0.32475 -0.86393 -0.38491 4.31 -0.29557 -0.86171 -0.41241 1.86
Car -0.29557 -0.86171 -0.41241 1.86 -0.06322 -0.79542 -0.60274 -0.62
Car -0.38155 -0.85686 -0.34667 3.43 -0.38718 -0.85963 -0.33335 2.21
Car -0.38155 -0.85686 -0.34667 3.43 -0.32475 -0.86393 -0.38491 4.31
Car -0.06322 -0.79542 -0.60274 -0.62 -0.11957 -0.68449 -0.71914 3.17
Car -0.29557 -0.86171 -0.41241 1.86 -0.39333 -0.64283 -0.65731 2.21
Cas 0.38943 0.89626 -0.2123 3.35 0.46205 0.86808 -0.18156 2.66
Cas 0.46205 0.86808 -0.18156 2.66 0.47424 0.87222 -0.11979 2.15
Cas 0.47424 0.87222 -0.11979 2.15 0.54281 0.83425 -0.09694 2.24
Cas 0.54281 0.83425 -0.09694 2.24 0.51238 0.85852 -0.0205 2.28
Cen -0.37374 -0.87322 0.31273 -0.01 -0.42393 -0.86926 0.25429 0.61
Cen -0.42393 -0.86926 0.25429 0.61 -0.53964 -0.8035 0.25132 2.29
Cen -0.53964 -0.8035 0.25132 2.29 -0.59392 -0.73477 0.32767 2.55
Cen -0.59392 -0.73477 0.32767 2.55 -0.6165 -0.70467 0.35122 3.87
Cen -0.6165 -0.70467 0.35122 3.87 -0.65481 -0.67525 0.33949 3.47
Cen -0.65481 -0.67525 0.33949 3.47 -0.66314 -0.66506 0.3434 3.41
Cen -0.66314 -0.66506 0.3434 3.41 -0.71248 -0.63482 0.29894 3.9
Cen -0.71248 -0.63482 0.29894 3.9 -0.75258 -0.59779 0.27616 2.75
Cen -0.66314 -0.66506 0.3434 3.41 -0.68529 -0.59297 0.42279 2.06
Cen -0.65481 -0.67525 0.33949 3.47 -0.57709 -0.67117 0.46528 2.33
Cen -0.57709 -0.67117 0.46528 2.33 -0.52653 -0.67048 0.5227 3.13
Cen -0.59392 -0.73477 0.32767 2.55 -0.64584 -0.75424 0.11831 2.2
Cen -0.64584 -0.75424 0.11831 2.2 -0.63491 -0.76862 0.07808 3.91
Cen -0.63491 -0.76862 0.07808 3.91 -0.63265 -0.77408 0.02309 2.58
Cen -0.63265 -0.77408 0.02309 2.58 -0.58051 -0.81171 -0.06418 4.62
Cen -0.58051 -0.81171 -0.06418 4.62 -0.45115 -0.89116 -0.04785 3.11
Cep 0.46831 0.84991 0.24157 3.39 0.38469 0.91497 0.12188 3.5
Cep 0.38469 0.91497 0.12188 3.5 0.26285 0.943 0.20415 3.23
Cep 0.26285 0.943 0.20415 3.23 0.35087 0.8877 0.29815 2.45
Cep 0.35087 0.8877 0.29815 2.45 0.46831 0.84991 0.24157 3.39
Cep 0.38469 0.91497 0.12188 3.5 0.21333 0.9768 0.01928 3.21
Cep 0.21333 0.9768 0.01928 3.21 0.26285 0.943 0.20415 3.23
Cet 0.82634 0.1538 -0.54177 4.36 0.78954 0.14713 -0.59581 4.3
Cet 0.86408 -0.27462 -0.42183 3.49 0.93398 -0.30879 -0.1798 2.04
Cet 0.93398 -0.30879 -0.1798 2.04 0.98462 -0.15339 -0.08366 3.56
Cet 0.93398 -0.30879 -0.1798 2.04 0.94051 -0.17677 -0.29018 3.46
Cet 0.94051 -0.17677 -0.29018 3.46 0.92404 -0.14233 -0.35481 3.6
Cet 0.92404 -0.14233 -0.35481 3.6 0.86971 -0.1794 -0.4598 3.74
Cet 0.86971 -0.1794 -0.4598 3.74 0.78556 -0.21286 -0.58101 4.88
Cet 0.78556 -0.21286 -0.58101 4.88 0.75086 -0.20571 -0.6276 4.83
Cet 0.75086 -0.20571 -0.6276 4.83 0.7324 -0.23952 -0.63735 4.24
Cet 0.7324 -0.23952 -0.63735 4.24 0.76006 -0.26293 -0.59429 4.74
Cet 0.76006 -0.26293 -0.59429 4.74 0.86408 -0.27462 -0.42183 3.49
Cet 0.81968 -0.05193 -0.57046 6.47 0.75086 -0.20571 -0.6276 4.83
Cet 0.81968 -0.05193 -0.57046 6.47 0.76749 0.00574 -0.64104 4.08
Cet 0.76749 0.00574 -0.64104 4.08 0.7555 0.05646 -0.65271 3.47
Cet 0.7555 0.05646 -0.65271 3.47 0.69826 0.07133 -0.71228 2.54
Cet 0.69826 0.07133 -0.71228 2.54 0.69945 0.15484 -0.6977 4.71
Cet 0.69945 0.15484 -0.6977 4.71 0.74033 0.17562 -0.6489 4.27
Cet 0.74033 0.17562 -0.6489 4.27 0.78954 0.14713 -0.59581 4.3
Cet 0.78954 0.14713 -0.59581 4.3 0.77379 0.09747 -0.6259 4.87
Cet 0.77379 0.09747 -0.6259 4.87 0.7555 0.05646 -0.65271 3.47
Cha -0.1286 -0.97405 -0.18621 4.05 -0.18424 -0.98029 -0.07121 4.11
Cha -0.18424 -0.98029 -0.07121 4.11 -0.18486 -0.98265 0.01484 4.24
Cir -0.32105 -0.90612 0.27545 3.18 -0.32217 -0.86003 0.39566 4.48
Cir -0.32105 -0.90612 0.27545 3.18 -0.33725 -0.85537 0.39319 4.071
CMa -0.2291 -0.20857 -0.95079 4.08 -0.26446 -0.26947 -0.92598 4.11
CMa -0.26446 -0.26947 -0.92598 4.11 -0.23183 -0.29327 -0.92749 4.36
CMa -0.23183 -0.29327 -0.92749 4.36 -0.18748 -0.28758 -0.93922 -1.44
CMa -0.18748 -0.28758 -0.93922 -1.44 -0.24838 -0.40407 -0.88035 3.02
CMa -0.24838 -0.40407 -0.88035 3.02 -0.26335 -0.44452 -0.85617 1.83
CMa -0.26335 -0.44452 -0.85617 1.83 -0.28628 -0.45045 -0.84565 4.01
CMa -0.28628 -0.45045 -0.84565 4.01 -0.31284 -0.48942 -0.81399 2.45
CMa -0.22135 -0.48438 -0.84638 1.5 -0.23505 -0.46846 -0.85163 3.49
CMa -0.23505 -0.46846 -0.85163 3.49 -0.26335 -0.44452 -0.85617 1.83
CMa -0.23505 -0.46846 -0.85163 3.49 -0.21422 -0.40559 -0.88859 6.65
CMa -0.21422 -0.40559 -0.88859 6.65 -0.15046 -0.32978 -0.93198 3.95
CMa -0.15046 -0.32978 -0.93198 3.95 -0.14029 -0.39016 -0.90999 4.54
CMa -0.15046 -0.32978 -0.93198 3.95 -0.09406 -0.30828 -0.94663 1.98
CMa -0.15046 -0.32978 -0.93198 3.95 -0.18748 -0.28758 -0.93922 -1.44
CMa -0.22135 -0.48438 -0.84638 1.5 -0.18195 -0.53742 -0.82344 3.5
CMa -0.0766 -0.50095 -0.86207 3.02 -0.22135 -0.48438 -0.84638 1.5
